Annee;HC;HP;HF;Valeur
2022;HC_34;HP_35;TOTAL;4588
2022;HC_41;HP_13;TOTAL;20
2022;HC_42;HP_11;TOTAL;13
2022;HC_42;HP_42;TOTAL;4572
2022;HC_43;HP_82;TOTAL;2712
2022;HC_51;HP_33;TOTAL;0
2022;HC_51;HP_52;TOTAL;3
2022;HC_51;HP_59;TOTAL;246
2022;HC_52;HP_33;TOTAL;361
2022;HC_52;HP_52;TOTAL;10059
2022;HC_52;HP_59;TOTAL;4305
2022;HC_61;HP_31;TOTAL;0
2022;HC_61;HP_82;TOTAL;596
2022;HC_62;HP_31;TOTAL;355
2022;HC_62;HP_33;TOTAL;151
2022;HC_62;HP_34;TOTAL;8
2022;HC_62;HP_59;TOTAL;0
2022;HC_63;HP_11;TOTAL;0
2022;HC_63;HP_12;TOTAL;0
2022;HC_63;HP_34;TOTAL;0
2022;HC_63;HP_52;TOTAL;0
2022;HC_64;HP_12;TOTAL;0
2022;HC_64;HP_42;TOTAL;0
2022;HC_65;HP_11;TOTAL;0
2022;HC_65;HP_13;TOTAL;0
2022;HC_65;HP_59;TOTAL;0
2022;HC_71;HP_71;TOTAL;1111
2022;HC_72;HP_72;TOTAL;6729
2023;HC_12;HP_11;TOTAL;11036
2023;HC_13;HP_11;TOTAL;18000
2023;HC_13;HP_12;TOTAL;2620
2023;HC_13;HP_33;TOTAL;813
2023;HC_14;HP_13;TOTAL;9
2023;HC_14;HP_31;TOTAL;784
2023;HC_14;HP_32;TOTAL;0
2023;HC_21;HP_13;TOTAL;365
2023;HC_24;HP_33;TOTAL;0
2023;HC_31;HP_21;TOTAL;37285
2023;HC_31;HP_22;TOTAL;209
2023;HC_32;HP_21;TOTAL;104
2023;HC_33;HP_22;TOTAL;1600
2023;HC_34;HP_35;TOTAL;5866
2023;HC_41;HP_11;TOTAL;297
2023;HC_41;HP_34;TOTAL;14
2023;HC_42;HP_11;TOTAL;12
2023;HC_42;HP_13;TOTAL;1
2023;HC_42;HP_42;TOTAL;4918
2023;HC_51;HP_11;TOTAL;13490
2023;HC_51;HP_13;TOTAL;111
2023;HC_51;HP_51;TOTAL;33721
2023;HC_51;HP_52;TOTAL;3
2023;HC_52;HP_13;TOTAL;153
2023;HC_52;HP_33;TOTAL;406
2023;HC_52;HP_59;TOTAL;4593
2023;HC_61;HP_31;TOTAL;0
2023;HC_61;HP_34;TOTAL;177
2023;HC_61;HP_82;TOTAL;650
2023;HC_62;HP_11;TOTAL;0
2023;HC_62;HP_12;TOTAL;0
2023;HC_62;HP_42;TOTAL;0
