Annee;HC;HP;HF;Valeur
2024;HC_132;TOTAL;HF_122;4342
2024;HC_133;TOTAL;HF_11;172
2024;HC_133;TOTAL;HF_31;27
2024;HC_511;TOTAL;HF_121;39394
2024;HC_511;TOTAL;HF_31;240
2024;HC_511;TOTAL;HF_32;1410
2024;HC_512;TOTAL;HF_121;0
2024;HC_512;TOTAL;HF_21;32
2024;HC_513;TOTAL;HF_121;2395
2024;HC_513;TOTAL;HF_122;131
2024;HC_513;TOTAL;HF_21;238
2024;HC_513;TOTAL;HF_31;372
2021;HC_131;HP_11;TOTAL;4911
2021;HC_131;HP_13;TOTAL;779
2021;HC_132;HP_32;TOTAL;11889
2021;HC_133;HP_13;TOTAL;105
2021;HC_133;HP_31;TOTAL;9488
2021;HC_133;HP_33;TOTAL;248
2021;HC_511;HP_51;TOTAL;26074
2021;HC_513;HP_51;TOTAL;3129
2021;HC_513;HP_52;TOTAL;3
2022;HC_131;HP_11;TOTAL;5083
2022;HC_131;HP_31;TOTAL;9470
2022;HC_131;HP_33;TOTAL;515
2022;HC_131;HP_34;TOTAL;331
2022;HC_132;HP_34;TOTAL;2080
2022;HC_133;HP_11;TOTAL;11711
2022;HC_133;HP_34;TOTAL;347
2022;HC_511;HP_13;TOTAL;117
2022;HC_513;HP_33;TOTAL;0
2023;HC_132;HP_31;TOTAL;86
2023;HC_132;HP_32;TOTAL;12530
2023;HC_133;HP_11;TOTAL;12501
2023;HC_133;HP_31;TOTAL;10502
2023;HC_133;HP_34;TOTAL;384
2023;HC_512;HP_51;TOTAL;2652
2024;HC_133;HP_34;TOTAL;420
2024;HC_511;HP_51;TOTAL;29520
2024;HC_513;HP_52;TOTAL;3
2021;TOTAL;TOTAL;HF_121;223880
2021;TOTAL;TOTAL;HF_122;18537
2021;TOTAL;TOTAL;HF_21;17567
2021;TOTAL;TOTAL;HF_23;2178
2021;TOTAL;TOTAL;HF_32;24606
2022;TOTAL;TOTAL;HF_122;19446
2022;TOTAL;TOTAL;HF_31;6943
2023;TOTAL;TOTAL;HF_11;11101
2023;TOTAL;TOTAL;HF_21;18491
2023;TOTAL;TOTAL;HF_31;7003
2024;TOTAL;TOTAL;HF_122;22186
2024;TOTAL;TOTAL;HF_23;2244
2024;TOTAL;TOTAL;HF_32;26603
2021;TOTAL;HP_11;TOTAL;94082
2021;TOTAL;HP_22;TOTAL;1415
2021;TOTAL;HP_32;TOTAL;12459
2021;TOTAL;HP_6;TOTAL;6156
2021;TOTAL;HP_71;TOTAL;1126
2021;TOTAL;HP_72;TOTAL;6590
2021;TOTAL;HP_82;TOTAL;3111
2022;TOTAL;HP_12;TOTAL;12715
2022;TOTAL;HP_13;TOTAL;2639
2022;TOTAL;HP_22;TOTAL;1745
2022;TOTAL;HP_31;TOTAL;21169
2022;TOTAL;HP_42;TOTAL;11525
2022;TOTAL;HP_59;TOTAL;4553
2022;TOTAL;HP_72;TOTAL;6729
2023;TOTAL;HP_12;TOTAL;13643
2023;TOTAL;HP_13;TOTAL;2845
2023;TOTAL;HP_21;TOTAL;37389
2023;TOTAL;HP_22;TOTAL;1809
2023;TOTAL;HP_34;TOTAL;6284
2023;TOTAL;HP_35;TOTAL;5866
2023;TOTAL;HP_59;TOTAL;4848
2023;TOTAL;HP_6;TOTAL;4220
2023;TOTAL;HP_81;TOTAL;74
2023;TOTAL;HP_82;TOTAL;3716
2024;TOTAL;HP_11;TOTAL;106155
2024;TOTAL;HP_13;TOTAL;2959
2024;TOTAL;HP_21;TOTAL;38464
2024;TOTAL;HP_22;TOTAL;1870
2024;TOTAL;HP_52;TOTAL;10878
2024;TOTAL;HP_71;TOTAL;1171
2024;TOTAL;HP_81;TOTAL;78
2024;TOTAL;HP_82;TOTAL;3885
2021;TOTAL;HP_6;HF_11;464
2021;TOTAL;HP_6;HF_121;3514
2021;TOTAL;HP_6;HF_23;2178
2022;TOTAL;HP_6;HF_121;2199
2023;TOTAL;HP_6;HF_11;419
2023;TOTAL;HP_6;HF_121;1568
2021;TOTAL;HP_11;HF_121;86856
2021;TOTAL;HP_11;HF_122;1329
2021;TOTAL;HP_11;HF_21;2086
2021;TOTAL;HP_11;HF_31;158
2021;TOTAL;HP_11;HF_32;2244
2021;TOTAL;HP_13;HF_21;85
2021;TOTAL;HP_21;HF_32;12513
2021;TOTAL;HP_32;HF_11;9
